VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000130013,臺中市,沙鹿區,晉江里,Jinjiang Vil.,B,66000,B13,66000130,87,684,2016,507,1795,臺中市沙鹿區晉江里,507,434594,857,575,356,1024,0.12312,1013.56,118.24,0.0863
66000130014,臺中市,沙鹿區,六路里,Liulu Vil.,B,66000,B13,66000130,258,2215,6519,1420,4578,臺中市沙鹿區六路里,1703,1558108,915,659,376,1160,0.423984,880.38,96.22,0.1027
66000130015,臺中市,沙鹿區,南勢里,Nanshi Vil.,B,66000,B13,66000130,82,1336,4244,821,2998,臺中市沙鹿區南勢里,1070,962286,899,667,381,1081,0.41561,1495.07,166.24,0.0776
66000130016,臺中市,沙鹿區,埔子里,Puzi Vil.,B,66000,B13,66000130,256,2405,6948,1214,3988,臺中市沙鹿區埔子里,1871,1868607,999,739,412,1299,0.742227,924.73,92.59,0.0993
66000130017,臺中市,沙鹿區,公明里,Gongming Vil.,B,66000,B13,66000130,174,1799,5273,1372,4793,臺中市沙鹿區公明里,1297,992079,765,612,373,977,0.100146,608.91,79.61,0.1002
66000130018,臺中市,沙鹿區,清泉里,Qingquan Vil.,B,66000,B13,66000130,78,923,2768,797,2636,臺中市沙鹿區清泉里,761,598748,787,653,384,1020,0.050076,660.57,83.96,0.0983
66000130019,臺中市,沙鹿區,西勢里,Xishi Vil.,B,66000,B13,66000130,44,865,2465,764,2669,臺中市沙鹿區西勢里,557,325746,585,500,302,764,-0.076433,421.22,72.02,0.0681
66000130020,臺中市,沙鹿區,興安里,Xing'an Vil.,B,66000,B13,66000130,113,1335,4207,1057,3907,臺中市沙鹿區興安里,1173,1062800,906,610,357,1038,0.076785,1295.06,142.93,0.0865
66000130021,臺中市,沙鹿區,三鹿里,Sanlu Vil.,B,66000,B13,66000130,411,3259,8900,1439,4517,臺中市沙鹿區三鹿里,2436,2105539,864,685,416,1116,0.970334,746.07,86.32,0.1108
66000140002,臺中市,梧棲區,下寮里,Xialiao Vil.,B,66000,B14,66000140,89,787,2353,778,2533,臺中市梧棲區下寮里,611,441025,722,580,363,925,-0.071062,594.16,82.32,0.113
66000140003,臺中市,梧棲區,中正里,Zhongzheng Vil.,B,66000,B14,66000140,75,1600,4677,1405,4687,臺中市梧棲區中正里,1298,1018074,784,586,364,978,-0.002134,741.18,94.5,0.097
66000140004,臺中市,梧棲區,中和里,Zhonghe Vil.,B,66000,B14,66000140,28,212,609,230,706,臺中市梧棲區中和里,162,143189,884,623,363,1075,-0.137394,890.42,100.74,0.152
66000140005,臺中市,梧棲區,文化里,Wenhua Vil.,B,66000,B14,66000140,53,485,1380,458,1500,臺中市梧棲區文化里,389,313453,806,597,338,1005,-0.08,779.54,96.74,0.1029
66000140006,臺中市,梧棲區,安仁里,Anren Vil.,B,66000,B14,66000140,57,330,971,318,1008,臺中市梧棲區安仁里,234,163426,698,544,346,889,-0.036706,594.02,85.05,0.1635
66000140007,臺中市,梧棲區,草湳里,Caonan Vil.,B,66000,B14,66000140,214,2418,7507,2218,7413,臺中市梧棲區草湳里,2022,1477736,731,575,354,895,0.01268,645.14,88.27,0.1013
66000140009,臺中市,梧棲區,福德里,Fude Vil.,B,66000,B14,66000140,167,1840,5833,1343,4751,臺中市梧棲區福德里,1442,1137813,789,610,361,1035,0.227742,644.91,81.73,0.0974
66000140010,臺中市,梧棲區,大庄里,Dazhuang Vil.,B,66000,B14,66000140,245,2819,9392,2259,8246,臺中市梧棲區大庄里,2479,1945683,785,599,362,987,0.138976,801.83,102.16,0.0877
66000140011,臺中市,梧棲區,大村里,Da Vil.,B,66000,B14,66000140,154,2109,7234,1841,6827,臺中市梧棲區大村里,1917,1519426,793,589,357,987,0.059616,780.58,98.48,0.0737
66000140012,臺中市,梧棲區,興農里,Xingnong Vil.,B,66000,B14,66000140,63,812,2771,724,2743,臺中市梧棲區興農里,758,578044,763,580,354,934,0.010208,653.94,85.75,0.0898
66000140013,臺中市,梧棲區,永寧里,Yongning Vil.,B,66000,B14,66000140,56,730,2718,704,2999,臺中市梧棲區永寧里,737,535179,726,551,345,860,-0.093698,714.8,98.44,0.0905
66000140014,臺中市,梧棲區,永安里,Yong'an Vil.,B,66000,B14,66000140,44,801,2959,761,3352,臺中市梧棲區永安里,806,654045,811,536,330,894,-0.117243,2531.81,312,0.0714
66000150001,臺中市,后里區,廣福里,Guangfu Vil.,B,66000,B15,66000150,117,899,2452,813,2519,臺中市后里區廣福里,427,280164,656,536,363,800,-0.026598,501.74,76.47,0.162
66000150002,臺中市,后里區,仁里里,Ren Vil.,B,66000,B15,66000150,32,380,1287,374,1414,臺中市后里區仁里里,217,145666,671,538,334,914,-0.089816,580.5,86.48,0.1233
